"";"comorbidity";"icd10"
"1";"aids hiv";"B200, B201, B202, B203, B204, B205, B206, B207, B208, B209, B210, B211, B212, B213, B217, B218, B219, B220, B221, B222, B227, B249"
"2";"cerebrovascula disease";"G450, G451, G452, G453, G454, G458, G459, G460, G461, G462, G463, G464, G465, G466, G467, G468, H340, I600, I601, I602, I603, I604, I605, I606, I607, I608, I609, I610, I611, I612, I613, I614, I615, I616, I618, I619, I620, I621, I629, I630, I631, I632, I633, I634, I635, I636, I638, I639, I649, I650, I651, I652, I653, I658, I659, I660, I661, I662, I663, I664, I668, I669, I670, I671, I672, I673, I674, I675, I676, I677, I678, I679, I680, I681, I682, I688, I690, I691, I692, I693, I694, I698"
"3";"chronic pulmonary disease";"I278, I279, J409, J410, J411, J418, J429, J430, J431, J432, J438, J439, J440, J441, J448, J449, J450, J450A, J450B, J450W, J451, J451A, J451W, J458, J459, J469, J479, J609, J619, J620, J628, J630, J631, J632, J633, J634, J635, J638, J649, J659, J660, J661, J662, J668, J670, J671, J672, J673, J674, J675, J676, J677, J678, J679, J684, J701, J703"
"4";"congestive heart failure";"I099, I110, I130, I132, I500, I501, I509, P290"
"5";"dementia";"F000, F001, F002, F009, F010, F011, F012, F013, F018, F019, F020, F021, F022, F023, F024, F028, F039, F051, G300, G301, G308, G309, G311"
"6";"diabetes complication";"E102, E102A, E102B, E102C, E102W, E102X, E103, E103A, E103B, E103C, E103D, E103E, E103F, E103W, E103X, E104, E104B, E104C, E104D, E104E, E104W, E104X, E105, E105A, E105B, E105W, E105X, E107, E112, E112A, E112B, E112C, E112W, E112X, E113, E113A, E113B, E113C, E113D, E113E, E113F, E113W, E113X, E114, E114B, E114C, E114D, E114E, E114W, E114X, E115, E115A, E115B, E115W, E115X, E117, E122, E123, E124, E125, E127, E132, E133, E134, E135, E137, E142, E143, E144, E145, E147"
"7";"diabetes no complication";"E100, E100A, E100B, E100C, E100D, E100X, E101, E101A, E101B, E101D, E101X, E106, E106A, E106D, E106E, E106F, E106G, E106W, E108, E109, E110, E110A, E110B, E110C, E110D, E110X, E111, E111A, E111B, E111D, E111X, E116, E116A, E116D, E116E, E116F, E116G, E116W, E118, E119, E120, E121, E126, E128, E129, E130, E131, E136, E138, E139, E140, E141, E146, E148, E149"
"8";"hemiplegia or paraplegia";"G041, G114, G801, G801A, G801B, G801X, G802, G810, G811, G819, G820, G821, G822, G823, G824, G825, G830, G831, G832, G833, G834, G839"
"9";"malingnacy";"C000, C001, C002, C003, C004, C005, C006, C008, C009, C019, C020, C021, C022, C023, C024, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C051, C052, C058, C059, C060, C061, C062, C068, C069, C079, C080, C081, C088, C089, C090, C091, C098, C099, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C113, C118, C119, C129, C130, C131, C132, C138, C139, C140, C142, C148, C153, C154, C155, C158, C159, C160, C160A, C160B, C160C, C160X, C161, C162, C163, C164, C165, C166, C168, C169, C170, C171, C172, C173, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C199, C209, C210, C211, C212, C218, C220, C221, C222, C223, C224, C227, C229, C239, C240, C241, C248, C249, C250, C251, C252, C253, C254, C257, C258, C259, C260, C261, C268, C269, C300, C301, C310, C311, C312, C313, C318, C319, C320, C321, C322, C323, C328, C329, C339, C340, C341, C342, C343, C348, C349, C349A, C349B, C349C, C349D, C349E, C349F, C349G, C349H, C349J, C349K, C349X, C379, C380, C381, C382, C383, C384, C388, C390, C398, C399, C400, C401, C402, C403, C408, C409, C410, C411, C412, C413, C414, C418, C419, C430, C430B, C430C, C430D, C430F, C430X, C431, C431B, C431C, C431D, C431F, C431X, C432, C432B, C432C, C432D, C432F, C432X, C433, C433B, C433C, C433D, C433F, C433X, C434, C434B, C434C, C434D, C434F, C434X, C435, C435B, C435C, C435D, C435F, C435X, C436, C436A, C436B, C436C, C436D, C436E, C436F, C436X, C437, C437A, C437B, C437C, C437D, C437E, C437F, C437X, C438, C438B, C438C, C438D, C438F, C438X, C439, C439A, C439B, C439C, C439D, C439E, C439F, C439X, C450, C451, C452, C457, C459, C460, C461, C462, C463, C467, C468, C469, C470, C471, C472, C473, C474, C475, C476, C478, C479, C480, C481, C482, C488, C490, C491, C492, C493, C494, C495, C496, C498, C499, C499A, C499B, C499C, C499D, C499E, C499F, C499G, C499H, C499J, C499K, C499L, C499M, C499N, C499W, C499X, C500, C501, C502, C503, C504, C505, C506, C508, C509, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C540, C541, C542, C543, C548, C549, C559, C569, C570, C571, C572, C573, C574, C577, C578, C579, C589, C600, C601, C602, C608, C609, C619, C620, C621, C629, C629A, C629B, C629X, C630, C631, C632, C637, C638, C639, C649, C659, C669, C670, C671, C672, C673, C674, C675, C676, C677, C678, C679, C680, C681, C688, C689, C690, C691, C692, C693, C694, C695, C696, C698, C699, C700, C701, C709, C710, C711, C712, C713, C714, C715, C716, C717, C718, C719, C720, C721, C722, C723, C724, C725, C728, C729, C739, C740, C741, C749, C750, C751, C752, C753, C754, C755, C758, C759, C760, C761, C762, C763, C764, C765, C767, C768, C810, C811, C812, C813, C814, C817, C819, C820, C821, C822, C823, C824, C825, C826, C827, C829, C830, C830A, C830B, C830C, C830D, C831, C833, C835, C835A, C835B, C835X, C837, C838, C839, C840, C841, C844, C845, C846, C847, C848, C849, C851, C851A, C851B, C852, C857, C859, C859A, C859B, C880, C882, C883, C884, C887, C887A, C887W, C889, C900, C901, C902, C903, C910, C910A, C910B, C911, C913, C914, C915, C916, C917, C918, C919, C920, C920A, C920B, C921, C922, C923, C924, C925, C926, C927, C928, C929, C930, C931, C933, C937, C939, C940, C942, C943, C944, C946, C947, C950, C951, C957, C959, C960, C962, C964, C965, C966, C967, C968, C969, C979"
"10";"matastasic solid tumor";"C770, C771, C772, C773, C774, C775, C778, C779, C780, C781, C782, C783, C784, C785, C786, C787, C788, C790, C791, C792, C793, C794, C795, C796, C797, C798, C799, C800, C809"
